Release,Description,Date,Url
"Microdata: Participation, Job Search and Mobility","New microdata: Participation Job Search and Mobility, 2015-2023",2023-06-30,
"Participation, Job Search and Mobility, Australia","Statistics about people looking for work, finding work, changing jobs, or their reasons for not working",2023-06-30,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/participation-job-search-and-mobility-australia/feb-2022
Potential workers,"Potential labour supply of people who are not working, including wanting to work, availability for work, marginal attachment and job search",2023-06-30,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/potential-workers/feb-2022
Underemployed workers,"Employed people who want to work more hours or worked reduced hours, including preferred hours and usual hours not worked, and underemployment…",2023-06-30,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/underemployed-workers/may-2022
Job mobility,"Job mobility and job search of employed people, including changing industry and/or occupation, job tenure, and changes in current job (e.g. hours…",2023-06-30,https://www.abs.gov.au/statistics/labour/jobs/job-mobility/feb-2022
"Job Vacancies, Australia","Results of the quarterly Job Vacancies Survey containing estimates of job vacancies classified by industry, sector and state/territory",2023-06-29,https://www.abs.gov.au/statistics/labour/jobs/job-vacancies-australia/feb-2023
Recorded Crime - Victims,"National statistics about victims of a range of personal, household and family and domestic violence offences as recorded by police.",2023-06-29,https://www.abs.gov.au/statistics/people/crime-and-justice/recorded-crime-victims/2021
Australian National Accounts: Finance and Wealth,"Contains quarterly data on national, sectoral and subsectoral financial accounts, balance sheets and capital accounts.",2023-06-29,https://www.abs.gov.au/statistics/economy/national-accounts/australian-national-accounts-finance-and-wealth/dec-2022
"Retail Trade, Australia",Monthly and quarterly estimates of turnover and volumes for retail businesses. Includes store and online sales by Australian retail businesses,2023-06-29,https://www.abs.gov.au/statistics/industry/retail-and-wholesale-trade/retail-trade-australia/mar-2023
Monthly Consumer Price Index indicator,The monthly CPI indicator is a measure of inflation and contains statistics about price change for categories of household expenditure.,2023-06-28,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/monthly-consumer-price-index-indicator/mar-2023
Provisional Mortality Statistics,Provisional deaths data for measuring changes in patterns of mortality during the COVID-19 pandemic in Australia,2023-06-28,https://www.abs.gov.au/statistics/health/causes-death/provisional-mortality-statistics/jan-2023
"Engineering Construction Activity, Australia","Provides estimates of value of engineering construction work done, commenced and yet to be done",2023-06-28,https://www.abs.gov.au/statistics/industry/building-and-construction/engineering-construction-activity-australia/dec-2022
Microdata: Longitudinal Labour Force,"New in DataLab: Labour force microdata, 1982 to May 2023",2023-06-27,
Improving regional labour force estimates,Description of new model for producing enhanced regional labour force estimates and plans for ongoing outputs,2023-06-27,
Characteristics of Australian Business,Information about characteristics of Australian businesses and their use of information and communication technology,2023-06-22,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2019-20
"Labour Force, Australia, Detailed",Labour Force related timeseries Excel spreadsheets with seasonally adjusted and trend estimates and detailed original data in Excel pivot tables…,2023-06-22,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia-detailed/mar-2023
"Film, Television and Digital Games, Australia","Statistics about motion picture and video activities, television broadcasters and digital game developers",2023-06-22,https://www.abs.gov.au/statistics/industry/technology-and-innovation/film-television-and-digital-games-australia/2015-16
Monthly Employee Earnings Indicator,"Estimates of employee earnings, sourced from Single Touch Payroll (STP) data",2023-06-21,
Data by region,Updates to Data by region including additional 2021 Census data and new data across various data themes.,2023-06-21,
Experimental administrative data snapshot of Population and Housing,"Release of integrated administrative data that represents a snapshot of Australian Population and Housing, as of 30 June 2021",2023-06-20,
Methodological News,Features important work and developments in ABS methodologies,2023-06-16,
"Tourism Satellite Accounts: quarterly tourism labour statistics, Australia, experimental estimates",Experimental estimates of quarterly tourism employment and jobs to measure the impacts of COVID-19 on tourism activity,2023-06-16,https://www.abs.gov.au/statistics/economy/national-accounts/tourism-satellite-accounts-quarterly-tourism-labour-statistics-australia-experimental-estimates/dec-2022
