Headline,Url,scraped_datetime,Rank
ABC announces job losses amid biggest restructure since 2017,https://www.theguardian.com/media/2023/may/11/abc-announces-job-losses-amid-biggest-restructure-since-2017,2023-05-12 07:26:54.891411+10:00,1
"BAE Systems tries to bill Australian taxpayers $55,000 for Christmas cards and decorations",https://www.theguardian.com/australia-news/2023/may/12/bae-systems-tries-to-bill-australian-taxpayers-55000-for-christmas-cards-and-decorations,2023-05-12 07:26:54.891411+10:00,2
‘Get your money now’: consultants encourage aged care providers to exploit the system,https://www.theguardian.com/australia-news/2023/may/12/get-your-money-now-consultants-encourage-aged-care-providers-to-exploit-the-system,2023-05-12 07:26:54.891411+10:00,3
Lisa Wilkinson disputes Bruce Lehrmann prosecutor’s claim she was warned over Logies speech,https://www.theguardian.com/australia-news/2023/may/11/lisa-wilkinson-disputes-bruce-lehrmann-prosecutors-claim-she-was-warned-over-logies-speech,2023-05-12 07:26:54.891411+10:00,4
Albanese government approves first new coalmine since taking power,https://www.theguardian.com/environment/2023/may/11/albanese-government-approves-first-new-coal-mine-since-taking-power,2023-05-12 07:26:54.891411+10:00,5
CNN head defends Trump’s lie-strewn town hall: ‘America was served very well’,https://www.theguardian.com/media/2023/may/11/cnn-chris-licht-trump-town-hall,2023-05-12 07:26:54.891411+10:00,6
My parents have been a lifeline since I became disabled. But now they are pulling away,https://www.theguardian.com/lifeandstyle/2023/may/11/my-parents-have-been-a-lifeline-since-i-became-disabled-but-now-they-are-pulling-away,2023-05-12 07:26:54.891411+10:00,7
"Common disinfectant wipes expose people to dangerous chemicals, research reveals",https://www.theguardian.com/us-news/2023/may/11/concern-over-increase-in-disinfectant-wipes-linked-to-health-problems,2023-05-12 07:26:54.891411+10:00,8
Josef Fritzl writes book from prison in attempt to be reconciled with his family,https://www.theguardian.com/world/2023/may/11/josef-fritzl-writes-book-from-prison-attempt-reconciled-with-family,2023-05-12 07:26:54.891411+10:00,9
‘It’s hell’: life under the American mobile home king who calls himself a ‘grave dancer’,https://www.theguardian.com/us-news/2023/may/11/sam-zell-mobile-home-king-evictions-hell,2023-05-12 07:26:54.891411+10:00,10
