Agency,Date,Id,Title,Url,Home_url,File
Environment,2023-05-03,72936,Correspondence regarding reconstruction offsets of Cumberland Plain Conservation Plan.,/sites/default/files/documents/72936.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72936.pdf
Environment,2023-05-02,73063,Documents relating to various meetings with the Minister for Climate Change and Energy.,/sites/default/files/documents/73063.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/73063.pdf
Environment,2023-04-27,72995,Documents relating to Assessment Approach Decision for the Cape Flattery Silica Sands Mine (EPBC 2022/09376).,/sites/default/files/documents/72995.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72995.pdf
Environment,2023-04-26,72842,Correspondence/briefs discussing recommendation 9.8 of the Pepper Inquiry.,/sites/default/files/documents/72842.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72842.pdf
Environment,2023-04-26,72999,Documents regarding refusal of rezoning proposal.,/sites/default/files/documents/72999.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72999.pdf
Environment,2023-04-24,72843,Correspondence and briefs to the Minister discussing recommendation 9.8 of the Pepper Inquiry.,/sites/default/files/documents/72843.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72843.pdf
Environment,2023-04-24,72895,Briefs relating to Australia's fuel security and Liquid Security Review report.,/sites/default/files/documents/72895.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72895.pdf
Environment,2023-04-18,72935,Correspondence regarding Griffin RTM foam.,/sites/default/files/documents/72935.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72935.pdf
Environment,2023-04-17,73182,Documents regarding waste export ban audit inspections.,/sites/default/files/documents/73182.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/73182.pdf
Environment,2023-04-14,72786,Correspondence regarding Middle Arm sustainable development precinct.,/sites/default/files/documents/72786.pdf,https://www.dcceew.gov.au/about/reporting/freedom-of-information/disclosure-log,https://www.dcceew.gov.au//sites/default/files/documents/72786.pdf
Environment,2023-04-14,72786,Correspondence regarding Middle Arm sustainable development precinct.,/sites/default/files/documents/72786.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72786.pdf
Environment,2023-04-04,72528,Briefing materials relating to certain EPBC Act controlled action decisions.,/sites/default/files/documents/72528.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72528.pdf
Environment,2023-03-15,72878,Visitations to Uluru National Park.,/sites/default/files/documents/72878.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72878.pdf
Environment,2023-03-15,72894,Briefing pack for 2023 February Supplementary Budget Estimates.,/sites/default/files/documents/72894.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72894.pdf
Environment,2023-03-08,72937,Draft documents regarding the Independent Review of Australian Carbon Credit Units.,/sites/default/files/documents/72937.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72937.pdf
Environment,2023-03-08,72335,Correspondence regarding the Review of Four Methods for Generating Australian Carbon Credit Units report.,/sites/default/files/documents/72335_0.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72335_0.pdf
Environment,2023-03-06,72795,Documents which present the historical costs and benefits for the GEMS program by appliance and product.,/sites/default/files/documents/72795.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72795.pdf
Environment,2023-03-03,72775,Documents regarding applications/exemptions under the Commercial Building Disclosure Program.,/sites/default/files/documents/72775.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72775.pdf
Environment,2023-02-17,72658,Decision brief regarding Murray-Darling Fractured Rock Water Resource Plan.,/sites/default/files/documents/72658.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72658.pdf
Environment,2023-02-16,72268,Documents regarding climate risk assessment.,/sites/default/files/documents/72268.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72268.pdf
Environment,2023-02-08,72355,Risk assessment/risk register for the Climate Active certification of British American Tobacco.,/sites/default/files/documents/72355.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72355.pdf
